0	17987598	57169104
0	46676535	27383420
0	66104473	77375535
0	41994159	277956
1	2240837	59864839
1	46676535	39975515
1	41994159	54620481
1	17987598	58096762
1	4607152	3434148
2	2240837	1149769
2	41994159	16795043
2	61443482	51024643
2	12760564	70636520
2	73539481	51203495
3	2240837	6473570
3	41994159	76393765
3	5042951	56391106
3	17987598	59947696
3	46676535	72411605
4	2240837	417152
4	5042951	4493932
4	2649947	23568658
4	17987598	613052
4	60945092	2051037
5	83193	53353992
5	38454300	16547646
5	988	74262417
5	14434409	44632031
5	74519337	76196534
6	38454300	49586959
6	76817298	76599574
6	37911337	78142570
6	74767930	38632380
6	45542926	3869283
7	38454300	1248833
7	17113009	821148
7	37911337	14539
7	60945092	2871644
7	5743212	22095859
8	38454300	75746300
8	45542926	1657023
8	28267409	27020037
8	44707607	27248938
8	2355918	77670060
9	4607152	11591432
9	60945092	70432
9	38454300	60422146
9	1038280	52284286
9	52846751	65888401
10	75746300	11974133
10	29343799	7294630
10	24159290	2156522
10	67642835	859981
10	18343996	67192104
11	75746300	25958537
11	24574669	994704
11	65872280	23000
11	77277402	12201787
11	604486	10854775
12	75746300	13371195
12	24574669	17895738
12	70620180	985619
12	13743601	51579024
12	77277402	60481511
13	67642835	23776575
13	52846751	73876743
13	75746300	77080272
13	29481838	20646772
13	26810695	25944
14	75746300	78142714
14	77277402	24997830
14	24574669	39480604
14	21195116	51579024
14	29824007	54473571
15	70601084	574759
15	75731161	25829369
15	2649947	12207392
15	3201	63448622
15	69759774	2615549
16	70601084	67057235
16	72624020	43180070
16	2649947	48684895
16	75731161	9139633
16	4607152	12682423
17	1770354	1240842
17	74039117	56249073
17	78144589	17218394
17	17987598	53133381
17	11373849	39675445
18	70601084	39315093
18	24831001	43092207
18	2537522	9550030
18	7895944	31485534
18	31668210	944339
19	70601084	2862
19	2649947	40973765
19	73378834	2039930
19	70190212	33670194
19	4607152	9503738
20	78144589	20324344
20	77375535	1570072
20	66104755	53865181
20	75731161	235550
20	69759774	72662717
21	3609425	56645465
21	988	183403
21	6937839	25488106
21	78144589	4175709
21	28803763	167326
22	78144589	36056076
22	47242218	53856783
22	78256342	68581881
22	66711177	27753472
22	57554825	28341744
23	78144589	74170779
23	66711177	53141433
23	74914188	49261105
23	32552139	418075
23	69278655	51252358
24	72624020	53271460
24	69759774	22921
24	66104473	10122624
24	66104755	263636
24	17987598	1949268
25	63662981	23875846
25	17987598	50393660
25	15462864	53779659
25	3201	29824007
25	4607152	75600094
26	15462864	73730263
26	4607152	73196815
26	63662981	1062532
26	17987598	58348103
26	62528684	75285773
27	73361785	44234764
27	77375535	3839610
27	4567598	19287844
27	15462864	30823252
27	17987598	9124629
28	78396172	39480604
28	78256342	6475070
28	2649947	10174
28	78132602	66805270
28	65789694	23044987
29	4607152	3434148
29	60945092	28777533
29	74039117	13988512
29	1038280	1194622
29	5042951	76187094
30	74970752	25904910
30	72624020	24515308
30	66104473	36323189
30	15462864	52067295
30	64789378	63513679
31	74970752	11026468
31	64789378	1847057
31	76802291	19132709
31	65091614	360788
31	78132602	42003835
32	74970752	4493932
32	78396172	172335
32	65091614	7067473
32	74039117	50773876
32	64789378	541351
33	74970752	72273506
33	76802291	4336217
33	65091614	7216822
33	15462864	58562797
33	78396172	58039179
34	74970752	64176530
34	15462864	1377612
34	76802291	1360091
34	63662981	12265304
34	72624020	32760230
35	72624020	1621705
35	53906473	950971
35	74330291	67112408
35	17945609	73184585
35	14947222	62302975
36	4607152	63941340
36	60945092	78134079
36	64789378	50792386
36	604486	68043187
36	20837956	4144848
37	2322153	8642531
37	58019317	44581891
37	29080477	38699400
37	11373849	215889
37	65789694	1936537
38	58229069	45390860
38	40891	25904910
38	29343799	38277667
38	76269130	4456373
38	194690	48715673
39	62528684	31036887
39	64789378	59747263
39	69759774	3225161
39	15462864	10136563
39	65936627	9260
40	4607152	63718197
40	15462864	25975323
40	63662981	59750846
40	60945092	1862923
40	46676535	2793460
41	4607152	1232743
41	78256342	71708395
41	2649947	67213339
41	78396172	490303
41	17376728	7174467
42	47242218	34410870
42	77871224	46644932
42	16794300	15275923
42	65789694	20615875
42	4607152	62365540
43	4607152	10425807
43	45390860	9170159
43	61660335	65980939
43	24241139	586357
