0	61541925
0	55569888
0	40218456
0	32692970
0	39773873
1	61541925
1	64301884
1	54400216
1	63225340
1	586357
2	61541925
2	32439784
2	26476831
2	253279
2	1763082
3	61541925
3	172777
3	263636
3	8220913
3	61547718
4	21523
4	349771
4	61547718
4	3907217
4	12994741
5	23838524
5	54041957
5	28443164
5	15677650
5	61541925
6	349771
6	14408479
6	61547718
6	38156432
6	14338608
7	14408479
7	21523
7	349771
7	61547718
7	46201232
8	21523
8	349771
8	35699507
8	61547718
8	64415394
9	1360091
9	46465898
9	14405160
9	78053249
9	7950358
10	61541925
10	61547718
10	1763082
10	21573718
10	15702071
11	38870173
11	61541925
11	26266110
11	54033657
11	50073184
12	54361643
12	32402755
12	35699507
12	64415394
12	73713333
13	64415394
13	43502368
13	18543448
13	349771
13	21523
14	61541925
14	14611016
14	2948178
14	19172663
14	5788461
15	78113392
15	172777
15	37652061
15	361157
15	3951220
16	78113392
16	26078035
16	37652061
16	3951220
16	31108124
17	32439784
17	4175709
17	159731
17	78113392
17	435399
18	78113392
18	3710117
18	43705185
18	21393064
18	21523
19	4175709
19	20860737
19	76454060
19	13963489
19	35659147
20	65434605
20	1908395
20	50336055
20	15497991
20	1988689
21	65434605
21	16167377
21	1164
21	1908395
21	66026469
22	65434605
22	1164
22	50336055
22	29804797
22	623686
23	65434605
23	7754370
23	4488510
23	1660757
23	3143150
24	65434605
24	30130914
24	29985074
24	60575040
24	8055330
25	14179835
25	75995640
25	349771
25	43502368
25	21523
26	14179835
26	43502368
26	39182554
26	349771
26	44738576
27	14179835
27	18543448
27	349771
27	37862937
27	61660335
28	43502368
28	43693845
28	26548937
28	7095986
28	12217323
29	349771
29	14179835
29	54316
29	37862937
29	38156432
30	8220913
30	172777
30	35699507
30	263636
30	46465898
31	14539
31	3602387
31	55867424
31	5389390
31	35484377
32	46465898
32	27569062
32	43502368
32	27141012
32	1360091
33	213214
33	73127816
33	35001481
33	35699507
33	46465898
34	871903
34	9240851
34	1762926
34	1600053
34	74242923
35	31663887
35	61541925
35	55867424
35	21523
35	2715076
36	61681836
36	31663887
36	5829819
36	28443302
36	5389390
37	31663887
37	8735392
37	61681836
37	66740805
37	73390595
38	31663887
38	2715076
38	2710755
38	1563306
38	54171755
39	68055327
39	31663887
39	38637693
39	18160509
39	2465250
40	3056879
40	690245
40	70548926
40	3788923
40	76676022
41	3056879
41	50073184
41	38870173
41	54033657
41	1222578
42	2715076
42	76053249
42	2710755
42	9788270
42	1563306
43	3056879
43	9539868
43	183403
43	39182554
43	990648
44	3056879
44	59892172
44	9539868
44	17895738
44	3788923
45	4231161
45	41575347
45	43502368
45	46587298
45	9835466
46	4231161
46	2931717
46	6703615
46	322337
46	183403
47	4231161
47	39799223
47	2931717
47	46587298
47	41575347
48	4231161
48	2931717
48	22656
48	585143
48	10904266
49	4231161
49	5017283
49	14973076
49	39480604
49	2791110
50	57040423
50	21438003
50	1219664
50	9951136
50	10511206
51	57040423
51	2376785
51	11974133
51	35824936
51	60925240
52	57040423
52	21657133
52	76196534
52	24701084
52	7639845
53	57040423
53	21438003
53	29819979
53	176997
53	29804797
54	57040423
54	60925240
54	7278280
54	490067
54	35824936
55	16167377
55	9912495
55	1908395
55	34204639
55	1988689
56	16167377
56	3865832
56	37652061
56	40257392
56	9912495
57	72360809
57	586357
57	54575571
57	2862
57	1164
58	3602387
58	1164
58	375416
58	9912495
58	16167377
59	43350772
59	19075690
59	39799017
59	4478788
59	29462241
60	349771
60	3907217
60	12994741
60	21523
60	61547718
61	349771
61	61547718
61	21523
61	14179835
61	14408479
62	78113392
62	38156432
62	64176530
62	7251
62	172777
63	61547718
63	3907217
63	349771
63	21523
63	440706
64	349771
